title,japanese_title,english_title,type,episodes,status,aired,premiered,broadcast,source,duration,rating,score,ranked,popularity,members,favorites,image_url
Ichigo Mashimaro Encore,苺ましまろencore,Strawberry Marshmallow Encore,OVA,2,Finished Airing,"Jan 23, 2009 to Mar 25, 2009",,,4-koma manga,27 min. per ep.,PG-13 - Teens 13 or older,7.68,#1343,#4642,"25,247",18,https://cdn.myanimelist.net/r/50x70/images/anime/12/14251.jpg?s=e9887f5985e82fb044a81c1a3985679c
Hourou Musuko,放浪息子,Wandering Son,TV,11,Finished Airing,"Jan 14, 2011 to Apr 1, 2011",Winter 2011,Fridays at 01:15 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,7.68,#1342,#1798,"133,411","1,090",https://cdn.myanimelist.net/r/50x70/images/anime/13/53945.jpg?s=f2e1ef481d45d72fed17da2aa94c41f7
Hakuouki Movie 2: Shikon Soukyuu,劇場版 薄桜鬼 第二章 士魂蒼穹,Hakuoki ~Demon of the Fleeting Blossom~ Warrior Spirit of the Blue Sky,Movie,1,Finished Airing,"Mar 8, 2014",,,,1 hr. 27 min.,PG-13 - Teens 13 or older,7.68,#1341,#4813,"23,205",70,https://cdn.myanimelist.net/r/50x70/images/anime/12/71796.jpg?s=9eb045fa7e9407b0dde445c848a93af1
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",GATE（ゲート）自衛隊　彼の地にて、斯く戦えり,GATE,TV,12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",Summer 2015,Saturdays at 00:30 (JST),Light novel,23 min. per ep.,R - 17+ (violence & profanity),7.68,#1340,#235,"840,607","6,401",https://cdn.myanimelist.net/r/50x70/images/anime/8/76222.jpg?s=1c87d750bfc8490a23278a3123f0ad9d
D.Gray-man Hallow,ディー・グレイマン ハロー,D.Gray-man HALLOW,TV,13,Finished Airing,"Jul 5, 2016 to Sep 27, 2016",Summer 2016,Tuesdays at 01:35 (JST),Manga,24 min. per ep.,R - 17+ (violence & profanity),7.68,#1339,#1309,"194,553","1,078",https://cdn.myanimelist.net/r/50x70/images/anime/12/80766.jpg?s=c5dc81a1c5c7c0bb7f37d60e11498a87
Aria the Animation,ARIA The ANIMATION,Aria the Animation,TV,13,Finished Airing,"Oct 6, 2005 to Dec 29, 2005",Fall 2005,Thursdays at 01:30 (JST),Manga,24 min. per ep.,G - All Ages,7.68,#1338,#1487,"169,492","2,292",https://cdn.myanimelist.net/r/50x70/images/anime/2/77620.jpg?s=5c694f2a87af08c8954cd89f67ba38b7
Ani ni Tsukeru Kusuri wa Nai! 3,兄に付ける薬はない！3,,TV,12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019",Fall 2019,Mondays at 09:54 (JST),Web manga,3 min. per ep.,PG-13 - Teens 13 or older,7.68,#1337,#3702,"40,889",48,https://cdn.myanimelist.net/r/50x70/images/anime/1756/103441.jpg?s=87077ad9646a34e21c01cfb1bf160cd0
Yi Nian Yong Heng 3rd Season,一念永恒 第三季,A Will Eternal 3rd Season,ONA,59,Currently Airing,"Jul 3, 2024 to ?",,,,Unknown,PG-13 - Teens 13 or older,7.68,#1336,#11606,"2,165",26,https://cdn.myanimelist.net/r/50x70/images/anime/1074/137652.jpg?s=d5f3a84645d2e566a9944d0397db29a5
Uchuu Kaizoku Captain Herlock,宇宙海賊・キャプテンハーロック,Space Pirate Captain Harlock,TV,42,Finished Airing,"Mar 14, 1978 to Feb 13, 1979",Spring 1978,Tuesdays at 19:00 (JST),Manga,25 min. per ep.,PG-13 - Teens 13 or older,7.68,#1335,#3731,"40,126",344,https://cdn.myanimelist.net/r/50x70/images/anime/1362/90305.jpg?s=f01c5d13eb2448dc08c54211323ed6ba
Pokemon Movie 01: Mewtwo no Gyakushuu,ポケットモンスター ミュウツーの逆襲,Pokémon: The First Movie - Mewtwo Strikes Back,Movie,1,Finished Airing,"Jul 18, 1998",,,,1 hr. 25 min.,PG - Children,7.66,#1400,#935,"273,745",444,https://cdn.myanimelist.net/r/50x70/images/anime/1513/140273.jpg?s=8a1e30aa81284ad1bddb45240cba1561
