title,japanese_title,english_title,type,episodes,status,aired,premiered,broadcast,source,duration,rating,score,ranked,popularity,members,favorites,image_url
Higepiyo,"ひげぴよ, ヒゲぴよ",,TV,39,Finished Airing,"Apr 3, 2009 to Feb 19, 2010",Spring 2009,Unknown,,5 min. per ep.,PG - Children,7.07,#4073,#8140,"6,248",16,https://cdn.myanimelist.net/r/50x70/images/anime/5/23125.jpg?s=806cac9a0838da74bddee91705a36e46
Hello! Sandybell,ハロー！サンディベル,,TV,47,Finished Airing,"Mar 6, 1981 to Feb 26, 1982",Spring 1981,Fridays at 19:30 (JST),,25 min. per ep.,G - All Ages,7.07,#4072,#7766,"6,993",30,https://cdn.myanimelist.net/r/50x70/images/anime/13/42653.jpg?s=451e60d36fb3ffce2cccc10e03be87d4
Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,半妖の夜叉姫 -戦国御伽草子- 弐の章,Yashahime: Princess Half-Demon: The Second Act,TV,24,Finished Airing,"Oct 2, 2021 to Mar 26, 2022",Fall 2021,Saturdays at 17:30 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4071,#3438,"46,490",323,https://cdn.myanimelist.net/r/50x70/images/anime/1415/118635.jpg?s=1ac492615e9c95067760824ab9af7021
Hakuouki OVA (2021),薄桜鬼 OVA,,OVA,3,Finished Airing,"Nov 13, 2021 to Jan 29, 2022",,,,27 min. per ep.,R - 17+ (violence & profanity),7.07,#4070,#8027,"6,465",30,https://cdn.myanimelist.net/r/50x70/images/anime/1763/117761.jpg?s=6af291debc6e9844f5f2b6698d030781
Gotou ni Naritai.,５等になりたい。,,Movie,1,Finished Airing,"Oct 10, 1995",,,,1 hr. 14 min.,G - All Ages,7.07,#4069,#10245,"3,228",5,https://cdn.myanimelist.net/r/50x70/images/anime/1831/112918.jpg?s=5d8cedf13d46048d23736f8d6a85a682
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,ドルアーガの塔 〜the Aegis of URUK〜 「ジルの冒険」,Tower of Druaga: The Aegis of Uruk - Jil's Adventure,Special,1,Finished Airing,"Apr 4, 2008",,,,24 min.,PG-13 - Teens 13 or older,7.07,#4068,#5644,"15,447",11,https://cdn.myanimelist.net/r/50x70/images/anime/8/60801.jpg?s=d0d51bda66b5a2c847eabdc010d19a2b
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,ドラゴンボールZ とびっきりの最強対最強,Dragon Ball Z: Cooler's Revenge,Movie,1,Finished Airing,"Jul 20, 1991",,,Manga,46 min.,PG-13 - Teens 13 or older,7.07,#4067,#1584,"156,458",97,https://cdn.myanimelist.net/r/50x70/images/anime/1113/121523.jpg?s=9fdcef3e361ed6a06870e9839001f48f
Doubutsu no Mori,どうぶつの森,Animal Crossing: The Movie,Movie,1,Finished Airing,"Dec 16, 2006",,,,1 hr. 27 min.,G - All Ages,7.07,#4066,#4458,"27,764",170,https://cdn.myanimelist.net/r/50x70/images/anime/3/13151.jpg?s=7826fbfc41767f05c0e888cda4917f44
Dirty Pair: The Movie,ダーティペア the Movie,Dirty Pair: Project Eden,Movie,1,Finished Airing,"Mar 14, 1987",,,Light novel,1 hr. 21 min.,PG-13 - Teens 13 or older,7.07,#4065,#6343,"11,497",44,https://cdn.myanimelist.net/r/50x70/images/anime/1855/92685.jpg?s=a6b331967aa141d01bd8b720ecceb0d0
Densetsu Kyojin Ideon,伝説巨神イデオン,Space Runaway Ideon,TV,39,Finished Airing,"May 8, 1980 to Jan 30, 1981",Spring 1980,Fridays at 19:30 (JST),,25 min. per ep.,PG-13 - Teens 13 or older,7.07,#4064,#5205,"19,265",125,https://cdn.myanimelist.net/r/50x70/images/anime/4/77068.jpg?s=0c758effb75813ba5e6e44b75f055265
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,映画 クレヨンしんちゃん　電撃！ブタのヒヅメ大作戦,,Movie,1,Finished Airing,"Apr 18, 1998",,,Manga,1 hr. 39 min.,G - All Ages,7.07,#4063,#8373,"5,844",2,https://cdn.myanimelist.net/r/50x70/images/anime/1422/94856.jpg?s=9b3311d32e1632ddeac2165789f53fce
Chicchana Yukitsukai Sugar,ちっちゃな雪使いシュガー,A Little Snow Fairy Sugar,TV,24,Finished Airing,"Oct 3, 2001 to Mar 27, 2002",Fall 2001,Wednesdays at 02:20 (JST),,24 min. per ep.,PG - Children,7.07,#4061,#4646,"25,214",131,https://cdn.myanimelist.net/r/50x70/images/anime/11/17101.jpg?s=94efd60e7f133d32166240aac31abb6f
Black Cat: Toozakaru Neko,ブラックキャット 第14.5話 遠ざかる猫,Black Cat Special,Special,1,Finished Airing,"Jul 26, 2006",,,Manga,24 min.,PG-13 - Teens 13 or older,7.07,#4060,#4895,"22,296",25,https://cdn.myanimelist.net/r/50x70/images/anime/5/22527.jpg?s=932209928304010155bdaf36b258041a
Black Bullet,ブラック・ブレット　BLACK BULLET　［黒の銃弾］,Black Bullet,TV,13,Finished Airing,"Apr 8, 2014 to Jul 1, 2014",Spring 2014,Tuesdays at 22:30 (JST),Light novel,24 min. per ep.,R - 17+ (violence & profanity),7.07,#4059,#191,"942,761","3,783",https://cdn.myanimelist.net/r/50x70/images/anime/1292/94693.jpg?s=19061374463a7ecdc2b3563ef5ded5c1
Aquarion Evol,アクエリオンEVOL,Aquarion Evol,TV,26,Finished Airing,"Jan 9, 2012 to Jun 25, 2012",Winter 2012,Unknown,,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4057,#2093,"108,437",416,https://cdn.myanimelist.net/r/50x70/images/anime/6/72743.jpg?s=e2a54a4f63adfdb6d943037ae462690d
Yoroiden Samurai Troopers,鎧伝サムライトルーパー,Samurai Troopers,TV,39,Finished Airing,"Apr 30, 1988 to Mar 4, 1989",Spring 1988,Unknown,,23 min. per ep.,PG-13 - Teens 13 or older,7.07,#4056,#5138,"19,799",177,https://cdn.myanimelist.net/r/50x70/images/anime/1855/92738.jpg?s=9a198ddd36f0176e6ecabc7dded9a008
Cobra The Animation,COBRA THE ANIMATION,,TV,13,Finished Airing,"Jan 2, 2010 to Mar 27, 2010",Winter 2010,Saturdays at 23:30 (JST),Manga,24 min. per ep.,R+ - Mild Nudity,7.07,#4062,#6752,"9,967",28,https://cdn.myanimelist.net/r/50x70/images/anime/13/18900.jpg?s=4253750f226324a3f0093fab9a8a78d8
Vampire Knight Guilty,ヴァンパイア騎士〈ナイト〉Guilty,Vampire Knight Guilty,TV,13,Finished Airing,"Oct 7, 2008 to Dec 30, 2008",Fall 2008,Tuesdays at 01:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4055,#665,"375,091","2,547",https://cdn.myanimelist.net/r/50x70/images/anime/3/10075.jpg?s=f4cfe36c3c1b0b627dfb4175d42f7719
Unico: Mahou no Shima e,ユニコ 魔法の島へ,Unico in the Island of Magic,Movie,1,Finished Airing,"Jul 16, 1983",,,Manga,1 hr. 31 min.,G - All Ages,7.07,#4054,#9601,"3,964",20,https://cdn.myanimelist.net/r/50x70/images/anime/1850/110746.jpg?s=e103124264e1330ff62de30c2c60c985
Binchou-tan,びんちょうタン,,TV,12,Finished Airing,"Feb 3, 2006 to Apr 16, 2006",Winter 2006,Unknown,Manga,12 min. per ep.,G - All Ages,7.07,#4058,#5653,"15,364",132,https://cdn.myanimelist.net/r/50x70/images/anime/10/61143.jpg?s=3f47ad8d13c4c58e6be419004f096ace
The God of High School,THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール,The God of High School,TV,13,Finished Airing,"Jul 6, 2020 to Sep 28, 2020",Summer 2020,Mondays at 23:30 (JST),Web manga,23 min. per ep.,PG-13 - Teens 13 or older,7.07,#4052,#188,"951,790","4,205",https://cdn.myanimelist.net/r/50x70/images/anime/1722/107269.jpg?s=06aa2328ff29a9401217f3b9383ccbc9
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,空を見上げる少女の瞳に映る世界,,TV,9,Finished Airing,"Jan 14, 2009 to Mar 11, 2009",Winter 2009,Wednesdays at 01:45 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4051,#3628,"42,469",140,https://cdn.myanimelist.net/r/50x70/images/anime/1221/118907.jpg?s=9a318801ae6cf8c5c09546edb7f18ea1
Kaizoku Oujo,海賊王女,Fena: Pirate Princess,TV,12,Finished Airing,"Oct 3, 2021 to Dec 19, 2021",Fall 2021,Sundays at 02:38 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4034,#1219,"210,654","1,247",https://cdn.myanimelist.net/r/50x70/images/anime/1607/117951.jpg?s=a14f8234f517ac802107ec33e018d540
Kagejitsu!,かげじつ!,,ONA,17,Finished Airing,"Oct 26, 2022 to Feb 15, 2023",,,Light novel,2 min. per ep.,PG-13 - Teens 13 or older,7.07,#4033,#5335,"17,990",58,https://cdn.myanimelist.net/r/50x70/images/anime/1014/129578.jpg?s=7924ec310d516f66e217672d1aaaa861
Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,冴えない彼女の育てかた #0 「愛と青春のサービス回」,Saekano: Fan Service of Love and Youth,TV Special,1,Finished Airing,"Jan 9, 2015",,,Light novel,23 min.,PG-13 - Teens 13 or older,7.08,#4032,#1799,"133,342",95,https://cdn.myanimelist.net/r/50x70/images/anime/6/70493.jpg?s=cc739a87e649fc8a5762fa08b90e47e7
Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari,劇場版とある魔術の禁書目録たん-エンデュミオンの奇蹟-があったりなかったり,A Certain Magical Index Movie Special,Special,1,Finished Airing,"Aug 28, 2013",,,Light novel,12 min.,PG-13 - Teens 13 or older,7.07,#4053,#4587,"26,091",19,https://cdn.myanimelist.net/r/50x70/images/anime/9/53541.jpg?s=c8330b49e62bf57ba6da17785320c1ae
Qin Shi Mingyue: Wanli Changcheng,秦时明月 肆 万里长城,Qin's Moon: The Great Wall,TV,37,Finished Airing,"Sep 30, 2012 to Jan 2, 2013",Fall 2012,Unknown,,22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4031,#12767,"1,486",10,https://cdn.myanimelist.net/r/50x70/images/anime/12/65283.jpg?s=aaf725827d7944b280d1287814bdf0c0
Prima Doll,プリマドール,Prima Doll,TV,12,Finished Airing,"Jul 9, 2022 to Sep 24, 2022",Summer 2022,Saturdays at 00:30 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#4030,#3925,"36,113",192,https://cdn.myanimelist.net/r/50x70/images/anime/1553/124311.jpg?s=787ff63e26a8dc7698ebd6ed43700a8e
Pokemon: Mewtwo! Ware wa Koko ni Ari,ポケットモンスター ミュウツー! 我ハココニ在リ,Pokémon: Mewtwo Returns,TV Special,1,Finished Airing,"Dec 30, 2000",,,,1 hr. 15 min.,PG - Children,7.08,#4029,#2531,"80,565",24,https://cdn.myanimelist.net/r/50x70/images/anime/7/87922.jpg?s=d1f189e59f61986a5c56a0359565cb0a
Pokemon Movie 03: Kesshoutou no Teiou Entei,ポケットモンスター 結晶塔の帝王 ENTEI,Pokémon 3: The Movie,Movie,1,Finished Airing,"Jul 8, 2000",,,,1 hr. 13 min.,PG - Children,7.08,#4028,#1380,"184,174",151,https://cdn.myanimelist.net/r/50x70/images/anime/7/80288.jpg?s=d195248aaa8aaa6fe4ab4ff1590059ba
One Piece: Yume no Soccer Ou!,ワンピース 夢のサッカー王!,One Piece: Dream Soccer King,Movie,1,Finished Airing,"Mar 2, 2002",,,Manga,5 min.,PG-13 - Teens 13 or older,7.08,#4027,#3383,"47,645",19,https://cdn.myanimelist.net/r/50x70/images/anime/1065/145480.jpg?s=af89662066516a546ac4a104e828cfef
One Piece Movie 02: Nejimaki-jima no Daibouken,ワンピース ねじまき島の冒険,One Piece: Clockwork Island Adventure,Movie,1,Finished Airing,"Mar 3, 2001",,,Manga,55 min.,PG-13 - Teens 13 or older,7.08,#4026,#2117,"106,065",40,https://cdn.myanimelist.net/r/50x70/images/anime/1939/97699.jpg?s=c144b8a7b4cf9b760ffdc4ce8113a205
No Guns Life 2nd Season,ノー・ガンズ・ライフ,No Guns Life Season 2,TV,12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020",Summer 2020,Fridays at 01:28 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#4025,#2467,"83,873",88,https://cdn.myanimelist.net/r/50x70/images/anime/1477/106613.jpg?s=5ec017f5ac36be5ce09009468ff7cdf7
Negima!? Natsu Special!?,ネギま!?夏 スペシャル!?,,OVA,1,Finished Airing,"Nov 22, 2006",,,Manga,27 min.,PG-13 - Teens 13 or older,7.08,#4024,#5318,"18,224",13,https://cdn.myanimelist.net/r/50x70/images/anime/8/23631.jpg?s=e62ad325125c58d9a1fc4c4aa52bf3b5
My Home Hero,マイホームヒーロー,My Home Hero,TV,12,Finished Airing,"Apr 2, 2023 to Jun 18, 2023",Spring 2023,Sundays at 23:30 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),7.08,#4023,#1753,"136,613",461,https://cdn.myanimelist.net/r/50x70/images/anime/1525/132959.jpg?s=088c5599e1634103324bef5fe4cfcc6d
Muv-Luv Alternative: Total Eclipse,マブラヴ オルタネイティヴ トータル・イクリプス,Muv-Luv Alternative: Total Eclipse,TV,24,Finished Airing,"Jul 2, 2012 to Dec 24, 2012",Summer 2012,Mondays at 01:35 (JST),Light novel,24 min. per ep.,R+ - Mild Nudity,7.08,#4022,#2240,"98,043",339,https://cdn.myanimelist.net/r/50x70/images/anime/3/44462.jpg?s=b25da03035eda270ba6d5beb5e1b8b62
Muteki Kanban Musume,無敵看板娘,Ramen Fighter Miki,TV,12,Finished Airing,"Jul 5, 2006 to Sep 20, 2006",Summer 2006,Wednesdays at 02:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#4020,#4969,"21,564",62,https://cdn.myanimelist.net/r/50x70/images/anime/7/26444.jpg?s=6ed7fe672b6ddca9ff386b17288b1d80
Mutafukaz,ムタフカズ -MUTAFUKAZ-,MFKZ,Movie,1,Finished Airing,"Oct 12, 2018",,,Manga,1 hr. 33 min.,R - 17+ (violence & profanity),7.08,#4019,#4754,"23,928",102,https://cdn.myanimelist.net/r/50x70/images/anime/1718/95259.jpg?s=e649742d317d1e750a7118a5f0862341
Meitantei Conan: Honchou no Keiji Koi Monogatari - Kekkon Zenya,本庁の刑事恋物語～結婚前夜～,Detective Conan: Love Story at Police Headquarters - Wedding Eve,Special,1,Finished Airing,"Apr 15, 2022",,,Manga,1 hr. 34 min.,PG-13 - Teens 13 or older,7.08,#4018,#11685,"2,113",1,https://cdn.myanimelist.net/r/50x70/images/anime/1774/123682.jpg?s=1795f76dc694d94127c44e802f7e15be
Muteki Koujin Daitarn 3,無敵鋼人ダイターン３,,TV,40,Finished Airing,"Jun 3, 1978 to Mar 31, 1979",Summer 1978,Saturdays at 17:30 (JST),,25 min. per ep.,PG-13 - Teens 13 or older,7.08,#4021,#9260,"4,434",13,https://cdn.myanimelist.net/r/50x70/images/anime/1975/93952.jpg?s=2d59c098593c87d85cc30aff113b8afd
Mangaka-san to Assistant-san to The Animation,マンガ家さんとアシスタントさんと THE ANIMATION,The Comic Artist and His Assistants,TV,12,Finished Airing,"Apr 8, 2014 to Jun 24, 2014",Spring 2014,Tuesdays at 01:05 (JST),Manga,13 min. per ep.,PG-13 - Teens 13 or older,7.08,#4017,#903,"284,952",481,https://cdn.myanimelist.net/r/50x70/images/anime/11/62219.jpg?s=97324e6bda64b78595ef0c0d964243e5
Majutsushi Orphen,魔術士オーフェン,Orphen,TV,24,Finished Airing,"Oct 3, 1998 to Mar 27, 1999",Fall 1998,Saturdays at 17:00 (JST),Light novel,25 min. per ep.,PG-13 - Teens 13 or older,7.08,#4016,#3356,"48,472",183,https://cdn.myanimelist.net/r/50x70/images/anime/13/61839.jpg?s=4868e988456e5e635b9bdab5633dd863
Lostorage Conflated WIXOSS,Lostorage conflated WIXOSS,,TV,12,Finished Airing,"Apr 7, 2018 to Jun 23, 2018",Spring 2018,Saturdays at 00:30 (JST),,23 min. per ep.,R - 17+ (violence & profanity),7.08,#4015,#4157,"32,287",78,https://cdn.myanimelist.net/r/50x70/images/anime/1558/90899.jpg?s=b2731b8106fde63235437fdcab31704e
Kimi wa Meido-sama.,君は冥土様。,You are Ms. Servant.,TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 01:30 (JST),Web manga,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#4013,#2098,"108,080",431,https://cdn.myanimelist.net/r/50x70/images/anime/1909/144684.jpg?s=4b25126279461a13528031c55340b5f5
Kaiketsu Zorori,かいけつゾロリ,Kaiketsu Zorori,TV,52,Finished Airing,"Feb 1, 2004 to Feb 6, 2005",Winter 2004,Unknown,,24 min. per ep.,PG - Children,7.08,#4012,#9481,"4,123",44,https://cdn.myanimelist.net/r/50x70/images/anime/1330/131495.jpg?s=adf34e2f497a86762ad2d78c4c1af216
Jie Yao,解药,Antidote,ONA,13,Finished Airing,"Jan 9, 2020 to Mar 26, 2020",,,Light novel,18 min. per ep.,PG-13 - Teens 13 or older,7.08,#4011,#4867,"22,677",130,https://cdn.myanimelist.net/r/50x70/images/anime/1579/105384.jpg?s=176fcbf267d7fc097133ff817e276176
Kirarin☆Revolution,きらりん☆レボリューション,Kirarin Revolution,TV,153,Finished Airing,"Apr 7, 2006 to Mar 27, 2009",Spring 2006,Fridays at 18:00 (JST),Manga,22 min. per ep.,PG-13 - Teens 13 or older,7.08,#4014,#4046,"34,109",272,https://cdn.myanimelist.net/r/50x70/images/anime/1089/116598.jpg?s=db2943603262713747a8d0f1a145f6d0
Houkago Shounen Hanako-kun,放課後少年花子くん,After-School Hanako-kun,TV,4,Finished Airing,"Oct 13, 2023 to Nov 3, 2023",Fall 2023,Fridays at 02:13 (JST),Web manga,10 min. per ep.,PG-13 - Teens 13 or older,7.08,#4010,#2796,"68,515",418,https://cdn.myanimelist.net/r/50x70/images/anime/1530/138031.jpg?s=2a0494844b3353307e15b7781621189a
Hokuto no Ken: Raoh Gaiden Ten no Haoh,北斗の拳 ラオウ外伝 天の覇王,Legends of the Dark King: A Fist of the North Star Story,TV,13,Finished Airing,"Oct 3, 2008 to Dec 26, 2008",Fall 2008,Fridays at 01:28 (JST),Manga,24 min. per ep.,R - 17+ (violence & profanity),7.08,#4009,#5979,"13,379",29,https://cdn.myanimelist.net/r/50x70/images/anime/4/18181.jpg?s=5b9adb08763bd08c8d5367bb1e8f29e3
Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,春来たるGOSICKスペシャル-美しき怪物は混沌の先を視みる-,,TV Special,1,Finished Airing,"Mar 26, 2011",,,Light novel,13 min.,R - 17+ (violence & profanity),7.08,#4008,#5426,"17,207",29,https://cdn.myanimelist.net/r/50x70/images/anime/11/28897.jpg?s=cf242902487303366e1e77b5d141a84e
Ginga Tetsudou Monogatari,銀河鉄道物語,The Galaxy Railways,TV,26,Finished Airing,"Oct 5, 2003 to Apr 11, 2004",Fall 2003,Unknown,,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#4007,#5948,"13,572",48,https://cdn.myanimelist.net/r/50x70/images/anime/6/39821.jpg?s=65252b345f6451b0220abbb08ddeee3e
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,デンゼルを中心としたオリジナルアニメ,,OVA,1,Finished Airing,"Apr 16, 2009",,,,28 min.,PG-13 - Teens 13 or older,7.08,#4006,#4522,"26,946",11,https://cdn.myanimelist.net/r/50x70/images/anime/12/51623.jpg?s=6c57fad9981c9e52a9af6655f5ea2093
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,ダンジョンに出会いを求めるのは間違っているだろうか外伝 ソード・オラトリア,Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,TV,12,Finished Airing,"Apr 15, 2017 to Jul 1, 2017",Spring 2017,Saturdays at 00:30 (JST),Light novel,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#4005,#506,"470,903",747,https://cdn.myanimelist.net/r/50x70/images/anime/1181/123312.jpg?s=5802160db2f41a5beaf3e81fbe2478f3
Crayon Shin-chan Movie 30: Mononoke Ninja Chinpuuden,映画クレヨンしんちゃん もののけニンジャ珍風伝,,Movie,1,Finished Airing,"Apr 22, 2022",,,Manga,1 hr. 39 min.,G - All Ages,7.08,#4004,#11257,"2,401",3,https://cdn.myanimelist.net/r/50x70/images/anime/1959/121067.jpg?s=13481f0feee117d0332620ca6d275d3f
Bubblegum Crisis Tokyo 2040,バブルガムクライシス TOKYO2040,,TV,26,Finished Airing,"Oct 8, 1998 to Apr 1, 1999",Fall 1998,Thursdays at 01:15 (JST),,24 min. per ep.,R - 17+ (violence & profanity),7.08,#4003,#3656,"41,683",206,https://cdn.myanimelist.net/r/50x70/images/anime/1699/92414.jpg?s=7ac0059cd0f0f90e3fafaaffeff79256
Boku no Chikyuu wo Mamotte,ぼくの地球を守って,Please Save My Earth,OVA,6,Finished Airing,"Dec 17, 1993 to Sep 23, 1994",,,Manga,30 min. per ep.,PG-13 - Teens 13 or older,7.08,#4002,#4943,"21,827",158,https://cdn.myanimelist.net/r/50x70/images/anime/5/25035.jpg?s=f03c1c92c2311549fe9529d1f41d84a3
Black Blood Brothers,ブラック・ブラッド・ブラザーズ,Black Blood Brothers,TV,12,Finished Airing,"Sep 8, 2006 to Nov 24, 2006",Fall 2006,Fridays at 23:30 (JST),Light novel,24 min. per ep.,R - 17+ (violence & profanity),7.08,#4001,#2125,"105,519",407,https://cdn.myanimelist.net/r/50x70/images/anime/5/13804.jpg?s=c73edd2be0f2e8560c6abb8f4d6c7245
Tetsuwan Atom,鉄腕アトム,Astro Boy,TV,193,Finished Airing,"Jan 1, 1963 to Dec 31, 1966",Winter 1963,Saturdays at 19:00 (JST),Manga,26 min. per ep.,G - All Ages,7.08,#3984,#5880,"13,955",57,https://cdn.myanimelist.net/r/50x70/images/anime/10/79582.jpg?s=21ae5acc464fee2017497ddae082d773
Tennis no Oujisama: Another Story - Kako to Mirai no Message Specials,テニスの王子様　OVA ANOTHER STORY ～過去と未来のメッセージ,The Prince of Tennis: Another Story - Messages From Past and Future OVA Bonus,Special,2,Finished Airing,"May 26, 2009 to Sep 25, 2009",,,Manga,3 min. per ep.,PG-13 - Teens 13 or older,7.08,#3983,#8018,"6,480",3,https://cdn.myanimelist.net/r/50x70/images/anime/8/16345.jpg?s=61e5de8dbee98ee4939a0e5bba9df87e
Synduality: Noir Part 2,SYNDUALITY Noir 第2クール,,TV,12,Finished Airing,"Jan 9, 2024 to Mar 26, 2024",Winter 2024,Tuesdays at 00:00 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#3982,#5194,"19,308",74,https://cdn.myanimelist.net/r/50x70/images/anime/1189/140511.jpg?s=5bc557445515005fcba7c712846defeb
Space Adventure Cobra,SPACE ADVENTURE コブラ,Space Adventure Cobra: The Movie,Movie,1,Finished Airing,"Jul 3, 1982",,,Manga,1 hr. 39 min.,R+ - Mild Nudity,7.08,#3981,#6136,"12,549",48,https://cdn.myanimelist.net/r/50x70/images/anime/13/42525.jpg?s=1d25c086df9bb428e12e7fdf4a1df517
Sousei no Aquarion,創聖のアクエリオン,Aquarion,TV,26,Finished Airing,"Apr 5, 2005 to Sep 27, 2005",Spring 2005,Unknown,,24 min. per ep.,PG-13 - Teens 13 or older,7.08,#3980,#2548,"79,749",365,https://cdn.myanimelist.net/r/50x70/images/anime/11/76291.jpg?s=0362fbeedfef2a586b809698b22776d3
Sayonara Watashi no Cramer Movie: First Touch,映画 さよなら私のクラマー ファーストタッチ,,Movie,1,Finished Airing,"Jun 11, 2021",,,Manga,1 hr. 44 min.,None,7.08,#3979,#6388,"11,313",22,https://cdn.myanimelist.net/r/50x70/images/anime/1482/111436.jpg?s=f527c187b92535ae034003f03a818d48
Zuoshou Shanglan,左手上篮,Left-Hand Layup!,ONA,8,Finished Airing,"Feb 2, 2023 to Mar 16, 2023",,,,24 min. per ep.,PG-13 - Teens 13 or older,7.09,#3978,#7072,"8,900",95,https://cdn.myanimelist.net/r/50x70/images/anime/1700/122189.jpg?s=9a121000dd71b9ee8af533c1568ea635
Uchuu Densetsu Ulysses 31,宇宙伝説ユリシーズ31,Ulysses 31,TV,26,Finished Airing,"Oct 3, 1981 to Nov 30, 1982",Fall 1981,Unknown,,25 min. per ep.,G - All Ages,7.09,#3977,#8062,"6,382",30,https://cdn.myanimelist.net/r/50x70/images/anime/1844/131936.jpg?s=20a652b2848f54bace7fff69a7a2d142
Tonari no Kyuuketsuki-san,となりの吸血鬼さん,Ms. Vampire who lives in my neighborhood.,TV,12,Finished Airing,"Oct 5, 2018 to Dec 21, 2018",Fall 2018,Fridays at 21:00 (JST),4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,7.09,#3975,#2060,"111,119",340,https://cdn.myanimelist.net/r/50x70/images/anime/1851/96154.jpg?s=fa004ac26ff6dd0e05e430b27a901d18
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,となりの怪物くん,My Little Monster OVA,OVA,1,Finished Airing,"Aug 12, 2013",,,Manga,27 min.,PG-13 - Teens 13 or older,7.09,#3974,#2103,"107,614",65,https://cdn.myanimelist.net/r/50x70/images/anime/8/53925.jpg?s=2a037c1996ec35e646690a8cb99ce851
Tonari no Yamada-kun,ホーホケキョ となりの山田くん,My Neighbors the Yamadas,Movie,1,Finished Airing,"Jul 17, 1999",,,4-koma manga,1 hr. 43 min.,G - All Ages,7.09,#3976,#3249,"51,274",114,https://cdn.myanimelist.net/r/50x70/images/anime/6/64545.jpg?s=0c2e93c4ae0e513ca5b07f8d04544113
Tokyo Mew Mew,東京ミュウミュウ,Mew Mew Power,TV,52,Finished Airing,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,Saturdays at 08:00 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,7.09,#3973,#1553,"160,850","1,704",https://cdn.myanimelist.net/r/50x70/images/anime/4/89298.jpg?s=a5da7f99b97159599753d7729be3a051
Tenchi Muyou! Manatsu no Eve,天地無用！真夏のイヴ,Tenchi the Movie 2: Daughter of Darkness,Movie,1,Finished Airing,"Aug 2, 1997",,",",,59 min.,R+ - Mild Nudity,7.09,#3972,#5527,"16,415",15,https://cdn.myanimelist.net/r/50x70/images/anime/8/61319.jpg?s=d0a99223a73584f85ad5c1865e8bb6f1
Star Wars: Visions,スター・ウォーズ：ビジョンズ,Star Wars: Visions,ONA,9,Finished Airing,"Sep 22, 2021",,,,15 min. per ep.,PG-13 - Teens 13 or older,7.09,#3971,#2283,"95,319",369,https://cdn.myanimelist.net/r/50x70/images/anime/1958/117686.jpg?s=7d25bfd96efc5597d933ca7e27548688
Shin Getter Robo tai Neo Getter Robo,真ゲッターロボ対ネオゲッターロボ,Shin Getter Robo vs. Neo Getter Robo,OVA,4,Finished Airing,"Dec 21, 2000 to Jun 25, 2001",,,,27 min. per ep.,PG-13 - Teens 13 or older,7.09,#3970,#7691,"7,176",27,https://cdn.myanimelist.net/r/50x70/images/anime/9/89851.jpg?s=8ce0ddb084ee3da2fca8be37b546824f
Shaonian Ge Xing,少年歌行,Youths and Golden Coffin,ONA,26,Finished Airing,"Dec 26, 2018 to Jun 5, 2019",,,,22 min. per ep.,PG-13 - Teens 13 or older,7.09,#3969,#10516,"2,983",38,https://cdn.myanimelist.net/r/50x70/images/anime/1635/97926.jpg?s=f4930e881bc7874a4e57d2f51118d6d4
